id,ctc,other,other_item,pe,qbi,rates,salt,std,corp_rate,corp_base,estate
baseline,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,21,current_law,current_law
2,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,21,current_law,current_policy
3,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,21,current_policy,current_law
4,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,21,current_policy,current_policy
5,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,15,current_law,current_law
6,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,15,current_law,current_policy
7,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,15,current_policy,current_law
8,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,15,current_policy,current_policy
9,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,25,current_law,current_law
10,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,25,current_law,current_policy
11,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,25,current_policy,current_law
12,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,25,current_policy,current_policy
13,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,28,current_law,current_law
14,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,28,current_law,current_policy
15,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,28,current_policy,current_law
16,current_law,current_law,current_law,current_law,current_law,current_law,current_law,current_law,28,current_policy,current_policy
17,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,21,current_law,current_law
18,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,21,current_law,current_policy
19,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,21,current_policy,current_law
20,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,21,current_policy,current_policy
21,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,15,current_law,current_law
22,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,15,current_law,current_policy
23,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,15,current_policy,current_law
24,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,15,current_policy,current_policy
25,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,25,current_law,current_law
26,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,25,current_law,current_policy
27,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,25,current_policy,current_law
28,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,25,current_policy,current_policy
29,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,28,current_law,current_law
30,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,28,current_law,current_policy
31,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,28,current_policy,current_law
32,current_law,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,28,current_policy,current_policy
33,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,21,current_law,current_law
34,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,21,current_law,current_policy
35,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,21,current_policy,current_law
36,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,21,current_policy,current_policy
37,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,15,current_law,current_law
38,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,15,current_law,current_policy
39,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,15,current_policy,current_law
40,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,15,current_policy,current_policy
41,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,25,current_law,current_law
42,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,25,current_law,current_policy
43,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,25,current_policy,current_law
44,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,25,current_policy,current_policy
45,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,28,current_law,current_law
46,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,28,current_law,current_policy
47,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,28,current_policy,current_law
48,current_law,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,28,current_policy,current_policy
49,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,21,current_law,current_law
50,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,21,current_law,current_policy
51,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,21,current_policy,current_law
52,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,21,current_policy,current_policy
53,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,15,current_law,current_law
54,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,15,current_law,current_policy
55,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,15,current_policy,current_law
56,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,15,current_policy,current_policy
57,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,25,current_law,current_law
58,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,25,current_law,current_policy
59,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,25,current_policy,current_law
60,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,25,current_policy,current_policy
61,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,28,current_law,current_law
62,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,28,current_law,current_policy
63,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,28,current_policy,current_law
64,current_law,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,28,current_policy,current_policy
65,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,21,current_law,current_law
66,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,21,current_law,current_policy
67,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,21,current_policy,current_law
68,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,21,current_policy,current_policy
69,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,15,current_law,current_law
70,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,15,current_law,current_policy
71,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,15,current_policy,current_law
72,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,15,current_policy,current_policy
73,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,25,current_law,current_law
74,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,25,current_law,current_policy
75,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,25,current_policy,current_law
76,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,25,current_policy,current_policy
77,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,28,current_law,current_law
78,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,28,current_law,current_policy
79,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,28,current_policy,current_law
80,current_law,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,28,current_policy,current_policy
81,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,21,current_law,current_law
82,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,21,current_law,current_policy
83,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,21,current_policy,current_law
84,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,21,current_policy,current_policy
85,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,15,current_law,current_law
86,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,15,current_law,current_policy
87,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,15,current_policy,current_law
88,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,15,current_policy,current_policy
89,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,25,current_law,current_law
90,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,25,current_law,current_policy
91,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,25,current_policy,current_law
92,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,25,current_policy,current_policy
93,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,28,current_law,current_law
94,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,28,current_law,current_policy
95,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,28,current_policy,current_law
96,current_law,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,28,current_policy,current_policy
97,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,21,current_law,current_law
98,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,21,current_law,current_policy
99,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,21,current_policy,current_law
100,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,21,current_policy,current_policy
101,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,15,current_law,current_law
102,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,15,current_law,current_policy
103,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,15,current_policy,current_law
104,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,15,current_policy,current_policy
105,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,25,current_law,current_law
106,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,25,current_law,current_policy
107,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,25,current_policy,current_law
108,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,25,current_policy,current_policy
109,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,28,current_law,current_law
110,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,28,current_law,current_policy
111,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,28,current_policy,current_law
112,current_law,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,28,current_policy,current_policy
113,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,21,current_law,current_law
114,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,21,current_law,current_policy
115,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,21,current_policy,current_law
116,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,21,current_policy,current_policy
117,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,15,current_law,current_law
118,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,15,current_law,current_policy
119,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,15,current_policy,current_law
120,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,15,current_policy,current_policy
121,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,25,current_law,current_law
122,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,25,current_law,current_policy
123,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,25,current_policy,current_law
124,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,25,current_policy,current_policy
125,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,28,current_law,current_law
126,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,28,current_law,current_policy
127,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,28,current_policy,current_law
128,current_law,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,28,current_policy,current_policy
129,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,21,current_law,current_law
130,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,21,current_law,current_policy
131,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,21,current_policy,current_law
132,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,21,current_policy,current_policy
133,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,15,current_law,current_law
134,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,15,current_law,current_policy
135,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,15,current_policy,current_law
136,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,15,current_policy,current_policy
137,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,25,current_law,current_law
138,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,25,current_law,current_policy
139,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,25,current_policy,current_law
140,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,25,current_policy,current_policy
141,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,28,current_law,current_law
142,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,28,current_law,current_policy
143,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,28,current_policy,current_law
144,current_policy,current_law,current_law,current_law,current_law,current_law,current_law,current_law,28,current_policy,current_policy
145,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,21,current_law,current_law
146,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,21,current_law,current_policy
147,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,21,current_policy,current_law
148,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,21,current_policy,current_policy
149,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,15,current_law,current_law
150,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,15,current_law,current_policy
151,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,15,current_policy,current_law
152,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,15,current_policy,current_policy
153,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,25,current_law,current_law
154,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,25,current_law,current_policy
155,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,25,current_policy,current_law
156,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,25,current_policy,current_policy
157,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,28,current_law,current_law
158,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,28,current_law,current_policy
159,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,28,current_policy,current_law
160,current_policy,current_law,current_law,current_law,current_law,current_law,current_policy,current_law,28,current_policy,current_policy
161,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,21,current_law,current_law
162,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,21,current_law,current_policy
163,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,21,current_policy,current_law
164,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,21,current_policy,current_policy
165,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,15,current_law,current_law
166,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,15,current_law,current_policy
167,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,15,current_policy,current_law
168,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,15,current_policy,current_policy
169,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,25,current_law,current_law
170,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,25,current_law,current_policy
171,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,25,current_policy,current_law
172,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,25,current_policy,current_policy
173,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,28,current_law,current_law
174,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,28,current_law,current_policy
175,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,28,current_policy,current_law
176,current_policy,current_law,current_law,current_law,current_policy,current_law,current_law,current_law,28,current_policy,current_policy
177,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,21,current_law,current_law
178,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,21,current_law,current_policy
179,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,21,current_policy,current_law
180,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,21,current_policy,current_policy
181,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,15,current_law,current_law
182,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,15,current_law,current_policy
183,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,15,current_policy,current_law
184,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,15,current_policy,current_policy
185,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,25,current_law,current_law
186,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,25,current_law,current_policy
187,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,25,current_policy,current_law
188,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,25,current_policy,current_policy
189,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,28,current_law,current_law
190,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,28,current_law,current_policy
191,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,28,current_policy,current_law
192,current_policy,current_law,current_law,current_law,current_policy,current_law,current_policy,current_law,28,current_policy,current_policy
193,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,21,current_law,current_law
194,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,21,current_law,current_policy
195,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,21,current_policy,current_law
196,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,21,current_policy,current_policy
197,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,15,current_law,current_law
198,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,15,current_law,current_policy
199,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,15,current_policy,current_law
200,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,15,current_policy,current_policy
201,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,25,current_law,current_law
202,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,25,current_law,current_policy
203,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,25,current_policy,current_law
204,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,25,current_policy,current_policy
205,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,28,current_law,current_law
206,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,28,current_law,current_policy
207,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,28,current_policy,current_law
208,current_policy,current_law,current_policy,current_law,current_law,current_law,current_law,current_law,28,current_policy,current_policy
209,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,21,current_law,current_law
210,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,21,current_law,current_policy
211,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,21,current_policy,current_law
212,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,21,current_policy,current_policy
213,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,15,current_law,current_law
214,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,15,current_law,current_policy
215,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,15,current_policy,current_law
216,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,15,current_policy,current_policy
217,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,25,current_law,current_law
218,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,25,current_law,current_policy
219,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,25,current_policy,current_law
220,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,25,current_policy,current_policy
221,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,28,current_law,current_law
222,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,28,current_law,current_policy
223,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,28,current_policy,current_law
224,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,28,current_policy,current_policy
225,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,21,current_law,current_law
226,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,21,current_law,current_policy
227,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,21,current_policy,current_law
228,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,21,current_policy,current_policy
229,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,15,current_law,current_law
230,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,15,current_law,current_policy
231,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,15,current_policy,current_law
232,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,15,current_policy,current_policy
233,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,25,current_law,current_law
234,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,25,current_law,current_policy
235,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,25,current_policy,current_law
236,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,25,current_policy,current_policy
237,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,28,current_law,current_law
238,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,28,current_law,current_policy
239,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,28,current_policy,current_law
240,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,28,current_policy,current_policy
241,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,21,current_law,current_law
242,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,21,current_law,current_policy
243,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,21,current_policy,current_law
244,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,21,current_policy,current_policy
245,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,15,current_law,current_law
246,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,15,current_law,current_policy
247,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,15,current_policy,current_law
248,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,15,current_policy,current_policy
249,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,25,current_law,current_law
250,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,25,current_law,current_policy
251,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,25,current_policy,current_law
252,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,25,current_policy,current_policy
253,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,28,current_law,current_law
254,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,28,current_law,current_policy
255,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,28,current_policy,current_law
256,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,28,current_policy,current_policy
