child_rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.0021484,0.0022396,0.0022991,0.0022802,0.0021383,0.002399,0.002341,0.0019761,0.0022002,0.0024119,0.0020572,0.0022998,0.0023106,0.0022002,0.0023511,0.0025639,0.0023012,0.0023207,0.0023612,0.0024,0.0022802,0.0024119,0.0023002,0.0022092,0.0024727,0.0024007,0.0025639,0.0025002,0.0026348,0.0027005,0.0026003,0.0025943,0.0025436,0.0026044,0.0028997,0.0026754,0.0028,0.0029591,0.0028011,0.0028477,0.0026247,0.003,0.0029186,0.0027362,0.0031003,0.0029003,0.0029794,0.0030009,0.0030503,0.0029794,0.0030997,0.003172,0.002797,0.0033,0.0029988,0.0028781,0.0028983,0.0028071,0.0034014,0.0028983,0.0025436,0.0031009,0.0031314,0.0032006,0.0028882,0.0032003,0.003401,0.0030994,0.003172,0.0035,0.0032003,0.0031821,0.0030991,0.0030199,0.0031618,0.0034003,0.0035672,0.0035989,0.0036381,0.0035672,0.0038004,0.0033442,0.0037395,0.0041012,0.0037192,0.0036077,0.0039996,0.0042868,0.0043009,0.0046991,0.0045907,0.005001,0.0053102,0.0053913,0.006,0.0067999,0.0075499,0.0089982,0.0104786,0.0169966
4,0.1749142,0.1537744,0.1406437,0.1308106,0.1250849,0.1197521,0.1170384,0.1124679,0.1113111,0.1079786,0.1057592,0.1020898,0.0973884,0.0980098,0.0951387,0.0968413,0.0928464,0.0915005,0.0918157,0.0898,0.0873962,0.0868186,0.0841084,0.0833122,0.082613,0.079924,0.0792282,0.0790079,0.077415,0.0754151,0.0737074,0.0723269,0.0706751,0.0696313,0.0680932,0.0676247,0.0667,0.0653654,0.0621249,0.0628616,0.0609261,0.0607,0.0579061,0.0581898,0.0563056,0.0547055,0.0553022,0.0530159,0.0535383,0.0531228,0.049995,0.049282,0.0480659,0.0476,0.047381,0.0465458,0.0469917,0.0449953,0.0436174,0.0435766,0.0432827,0.0415125,0.0401415,0.0405081,0.0392598,0.0387039,0.0391117,0.0365927,0.0370201,0.0368,0.0376038,0.0354595,0.0349895,0.0352361,0.034618,0.0336034,0.0344254,0.0339898,0.0318311,0.0327837,0.0325033,0.0310913,0.0316588,0.030009,0.0312332,0.0307569,0.030097,0.0296323,0.0284057,0.0290942,0.0280308,0.0285057,0.0276356,0.0278484,0.0278,0.0284463,0.0290442,0.0286943,0.0289024,0.0285943
7,0.0134783,0.0127284,0.0122951,0.0109954,0.0109448,0.0105958,0.0102962,0.0100631,0.0094009,0.0089281,0.0088065,0.0089991,0.008847,0.0090009,0.00832,0.0088267,0.0077039,0.0083099,0.0080871,0.0076,0.0079654,0.0074992,0.0077008,0.0078336,0.0070837,0.0075023,0.0066378,0.0067007,0.0070331,0.0069014,0.0066007,0.0064554,0.0068506,0.0060703,0.0062994,0.0059993,0.0061,0.0056549,0.0055022,0.005371,0.0057156,0.0056,0.0054825,0.0055839,0.0051005,0.0052005,0.005361,0.0043013,0.0047427,0.0049657,0.0045995,0.0047731,0.0048137,0.005,0.0042983,0.0045603,0.0042158,0.0041144,0.0039016,0.0038509,0.0038813,0.0040012,0.0040334,0.0039008,0.0038814,0.0036004,0.0039012,0.0036993,0.0038409,0.0036,0.0035004,0.0035773,0.0036989,0.0030605,0.003405,0.0031003,0.0033645,0.003499,0.0032936,0.0031111,0.0031003,0.0032936,0.0028477,0.0029009,0.0028375,0.0031314,0.0027997,0.0030098,0.0029006,0.0029994,0.0028679,0.0027005,0.0030706,0.0028477,0.0029,0.0029997,0.0026855,0.0030994,0.0030402,0.0033993
8,0.0218187,0.0214843,0.0196921,0.0196196,0.0191737,0.0184926,0.0180184,0.0183224,0.0158016,0.0163159,0.0159511,0.0153985,0.0165186,0.0152015,0.0156369,0.014583,0.0149075,0.0151201,0.0144412,0.0146,0.014056,0.0134377,0.0135013,0.0137114,0.0130628,0.0129039,0.0134074,0.0129013,0.0121306,0.0124025,0.0120012,0.0121608,0.0113805,0.0117149,0.0114989,0.0112082,0.0107,0.011097,0.0106042,0.010286,0.0100935,0.0095,0.0098503,0.0100631,0.0094009,0.009701,0.0091106,0.0087026,0.0090396,0.0088166,0.0082992,0.0087457,0.0083302,0.0083,0.0082967,0.0077525,0.0082592,0.0074891,0.007403,0.0076715,0.0075499,0.0070021,0.0072561,0.0069014,0.0072561,0.0073007,0.006802,0.0065987,0.0067494,0.0068,0.0067007,0.0064859,0.0063981,0.0061412,0.0065365,0.0063006,0.0062527,0.0055983,0.0061818,0.0056548,0.0055006,0.0058473,0.0052494,0.0051015,0.0055636,0.0057257,0.0058994,0.0054015,0.005201,0.0054989,0.0048643,0.005001,0.0053305,0.0052596,0.0052,0.0050265,0.0053102,0.0054989,0.005442,0.0054989
9,0.0202783,0.0188291,0.0181927,0.0187379,0.0173698,0.017593,0.017461,0.0162044,0.0161016,0.0159612,0.0158396,0.0153985,0.0155052,0.0155016,0.01436,0.0142688,0.0149075,0.0139546,0.0144817,0.0136,0.0140053,0.0136607,0.0131013,0.0132756,0.01285,0.013404,0.0127994,0.0122012,0.0128502,0.0124025,0.0119012,0.0120595,0.0118568,0.0121711,0.0110989,0.0114717,0.0106,0.0107422,0.0105042,0.0103773,0.010813,0.0099,0.0100935,0.0103266,0.010101,0.009501,0.0101949,0.0089027,0.0088774,0.0087153,0.0085991,0.0086342,0.0086646,0.0084,0.0082967,0.0086241,0.0083403,0.0076107,0.0077031,0.0080667,0.0076816,0.0080024,0.0074892,0.0072014,0.0074385,0.0069007,0.0072022,0.0068986,0.007327,0.0069,0.0070007,0.006648,0.006698,0.0062122,0.0065973,0.0072007,0.0060602,0.0063981,0.0060703,0.0063439,0.0063006,0.0059588,0.0055737,0.0056017,0.0061818,0.0056447,0.0058994,0.0052698,0.0058012,0.0052989,0.0056041,0.0053011,0.0058169,0.0055129,0.0053,0.0053508,0.0056345,0.0056989,0.0056041,0.0063987
10,0.0199236,0.0187379,0.0182927,0.0178968,0.0169543,0.0169932,0.0161436,0.0153329,0.0158016,0.0160423,0.0149275,0.0153985,0.0152417,0.0141014,0.0144208,0.0147857,0.0147074,0.0144107,0.0139446,0.0141,0.0142486,0.0138938,0.0132013,0.0131438,0.0125155,0.013204,0.0124345,0.0124012,0.0123941,0.0127025,0.0119012,0.0122723,0.0117048,0.0114413,0.0119988,0.0110157,0.0115,0.0103875,0.0110044,0.010205,0.0102151,0.0105,0.0099111,0.0100732,0.0094009,0.010001,0.0097997,0.0094028,0.009151,0.009222,0.0089991,0.0091713,0.0088267,0.0087,0.0083966,0.008999,0.0083403,0.0080971,0.0080032,0.0081782,0.007185,0.0076023,0.0076716,0.0076015,0.0076412,0.0074007,0.0073022,0.0069986,0.0069216,0.007,0.0063006,0.0072155,0.006798,0.006577,0.0067391,0.0062006,0.0067087,0.0062981,0.0059791,0.0063642,0.0067007,0.0058473,0.0060399,0.0064019,0.0055028,0.0056953,0.0058994,0.0054421,0.0057011,0.0059988,0.0054926,0.0056011,0.0055737,0.0056345,0.0058,0.0057967,0.0056751,0.0056989,0.0056953,0.0058988
11,0.0190622,0.0185555,0.0181927,0.0169138,0.0165997,0.0177929,0.016397,0.0165693,0.0162016,0.0163159,0.0155964,0.0152985,0.0153329,0.0149015,0.015343,0.0143702,0.013907,0.0140762,0.0145729,0.0143,0.0136304,0.0132553,0.0129013,0.0132351,0.0132959,0.0128038,0.0127892,0.0129013,0.0121509,0.0122024,0.0123012,0.0127385,0.0111677,0.0116237,0.0112989,0.0113096,0.0102,0.0102963,0.0108043,0.0104279,0.0103874,0.0104,0.0097591,0.0101543,0.009801,0.009501,0.009364,0.0097029,0.0098807,0.0094247,0.0089991,0.0088267,0.0085126,0.0085,0.0081967,0.0085227,0.0082086,0.0088571,0.0077031,0.0084721,0.0084011,0.0080024,0.0077628,0.0077015,0.0076108,0.0077008,0.0071021,0.0069986,0.0069622,0.0068,0.0073007,0.0065062,0.0069979,0.0068911,0.0069215,0.0060006,0.0055231,0.0058982,0.0063338,0.0062831,0.0063006,0.0063236,0.0059689,0.0062019,0.0062628,0.0059385,0.0054995,0.0055029,0.0058012,0.0053989,0.0055535,0.0056011,0.0054116,0.0053406,0.0057,0.0054825,0.0056041,0.0057988,0.00605,0.0056989
12,0.0208053,0.0206837,0.0190924,0.0186873,0.0182515,0.017393,0.0170151,0.0165388,0.0162016,0.0167517,0.0154444,0.0155984,0.0154038,0.0152015,0.0152214,0.0152012,0.0147074,0.0147147,0.0148466,0.0144,0.0141573,0.0143599,0.0131013,0.0129918,0.0127486,0.0130039,0.0125561,0.0129013,0.0121205,0.0127025,0.0122012,0.0121102,0.01134,0.0110157,0.0113989,0.0108941,0.0113,0.0108131,0.0107043,0.0098706,0.0104583,0.0097,0.0096476,0.0096273,0.009601,0.0094009,0.0099517,0.0090027,0.0094145,0.0090801,0.0087991,0.0087457,0.0088774,0.0087,0.0079968,0.0083808,0.0078437,0.0083302,0.007603,0.0080464,0.0078235,0.0070021,0.0075297,0.0072014,0.0070534,0.0074007,0.0072022,0.0072985,0.0070027,0.0066,0.0063006,0.0069115,0.0063981,0.0066581,0.0063743,0.0064006,0.0064554,0.0062981,0.0061514,0.0062223,0.0057006,0.0053508,0.0057257,0.0058017,0.0056649,0.0056953,0.0050995,0.005736,0.0061012,0.0056989,0.005442,0.004901,0.0051785,0.0052089,0.0054,0.0055332,0.005371,0.0053989,0.0054622,0.0053989
13,0.0215552,0.0200756,0.019892,0.0184643,0.0182515,0.0169932,0.0176739,0.0167314,0.0177018,0.0168733,0.0157585,0.0154985,0.0156775,0.0160016,0.0156572,0.0156268,0.0155078,0.0147958,0.0140966,0.0143,0.0144512,0.0143904,0.0132013,0.0142485,0.0134276,0.0128038,0.0127994,0.0115012,0.0121408,0.0118024,0.0118012,0.0114008,0.0114515,0.0113096,0.0114989,0.0112082,0.0105,0.0105699,0.009904,0.0105698,0.0101442,0.0102,0.0102455,0.0101847,0.009701,0.009501,0.0091613,0.0091027,0.0086545,0.0090092,0.0093991,0.0088369,0.0083606,0.0087,0.0082967,0.0084113,0.0081376,0.008239,0.007503,0.0075904,0.0073269,0.0076023,0.0070939,0.0075015,0.0075398,0.0067007,0.0069021,0.0072985,0.0069115,0.0067,0.0070007,0.0064149,0.0062981,0.0066986,0.0068101,0.0060006,0.0061311,0.0060982,0.0059284,0.0063338,0.0060006,0.0057055,0.0056649,0.0056017,0.0056852,0.0055231,0.0053995,0.0055434,0.0054011,0.0053989,0.0054217,0.005001,0.0052596,0.0049961,0.0046,0.00529,0.0049961,0.004899,0.005371,0.0052989
14,0.0202682,0.0195791,0.0187925,0.0181502,0.017988,0.0177929,0.0173496,0.0166605,0.0164016,0.0167213,0.015343,0.0159984,0.0150795,0.0157016,0.0151099,0.015566,0.0145073,0.0146641,0.0145729,0.0136,0.013752,0.0133263,0.0136014,0.013458,0.0133567,0.0125038,0.0130831,0.0125013,0.012384,0.0123025,0.0113011,0.0120595,0.0119683,0.0113704,0.0115988,0.0106711,0.0111,0.0103875,0.0102041,0.0102556,0.0104279,0.0102,0.0098503,0.009678,0.009901,0.009501,0.0094856,0.0094028,0.0095969,0.0087153,0.0090991,0.0089078,0.0090598,0.0088,0.0082967,0.0087862,0.0080667,0.008087,0.007603,0.0077728,0.0077829,0.0075023,0.0076614,0.0073015,0.0072662,0.0080008,0.0075023,0.0068986,0.0075905,0.0065,0.0071007,0.0064859,0.006798,0.006577,0.0062122,0.0062006,0.0060298,0.006698,0.0060602,0.0064452,0.0061006,0.0058676,0.0054116,0.0057017,0.0058676,0.0060906,0.0053995,0.0058272,0.0056011,0.0053989,0.005219,0.005201,0.0053305,0.005067,0.0054,0.00529,0.0049353,0.004899,0.0053406,0.0054989
15,0.0197615,0.0186467,0.0189924,0.0177448,0.0179373,0.0172931,0.0167922,0.0173394,0.0168017,0.0158193,0.0166098,0.0152985,0.0166402,0.0148015,0.0153532,0.0146032,0.0149075,0.0150593,0.0140966,0.0143,0.0138128,0.0135593,0.0133013,0.0132249,0.0127486,0.0128038,0.0131338,0.0135013,0.0126069,0.0118024,0.0118012,0.0117352,0.0114819,0.0114211,0.0113989,0.0107015,0.0109,0.0109145,0.0109044,0.0104381,0.0102759,0.0109,0.0100935,0.0096983,0.010201,0.010001,0.0093437,0.0097029,0.0092625,0.0091713,0.0091991,0.008695,0.0085531,0.0088,0.0082967,0.0083504,0.0080363,0.008016,0.0083033,0.0085227,0.0075499,0.0078023,0.00755,0.0076015,0.0072763,0.0067007,0.0077023,0.0071986,0.006719,0.0068,0.0071007,0.0065771,0.0069979,0.0068607,0.0064047,0.0062006,0.0063135,0.0061981,0.0062324,0.0063034,0.0060006,0.0060095,0.0054825,0.0055017,0.005442,0.0056447,0.0057994,0.0054015,0.005201,0.0054989,0.0052697,0.0053011,0.0051582,0.0055535,0.0053,0.0049454,0.0051076,0.0053989,0.0049555,0.0046991
16,0.0191129,0.0186062,0.0189924,0.0179779,0.0176333,0.0177929,0.0167213,0.0168125,0.0164016,0.0159612,0.0162956,0.0152985,0.0152822,0.0150015,0.0151099,0.0141371,0.0141071,0.014735,0.0147047,0.0143,0.0141168,0.0144005,0.0140014,0.0137012,0.0132046,0.0125038,0.0131642,0.0132013,0.0129008,0.0124025,0.0120012,0.0108029,0.0117555,0.01134,0.0105989,0.0113096,0.0113,0.0111274,0.0105042,0.0108333,0.0105394,0.01,0.0098706,0.0101442,0.0094009,0.009901,0.0097896,0.0092028,0.0093639,0.0088774,0.0084992,0.0085329,0.0089382,0.0091,0.0083966,0.0082795,0.0086646,0.0083403,0.0082033,0.0078741,0.0075904,0.0084025,0.0075905,0.0078016,0.0074385,0.0079008,0.0070021,0.0065987,0.0071953,0.0065,0.0074007,0.0071446,0.006798,0.0066479,0.0063642,0.0061006,0.0059183,0.0062981,0.0058777,0.0058575,0.0062006,0.0056751,0.0062426,0.0059018,0.0056447,0.0056751,0.0053995,0.0058474,0.0055011,0.0052989,0.005746,0.005201,0.005371,0.0048542,0.0053,0.0048137,0.0052393,0.005099,0.0055231,0.004799
17,0.0193358,0.018059,0.0184926,0.0183224,0.0171672,0.0170932,0.0165794,0.0158396,0.0164016,0.0165287,0.0165287,0.0154985,0.0154748,0.0148015,0.0153836,0.014512,0.0154077,0.0144411,0.0141879,0.0136,0.0141269,0.0131844,0.0139014,0.013762,0.0129412,0.0127038,0.0128703,0.0128013,0.0125056,0.0118024,0.0122012,0.012019,0.0115528,0.0117453,0.0119988,0.0108434,0.0106,0.0110057,0.0109044,0.0107117,0.0100327,0.0108,0.0102759,0.0096476,0.010201,0.009801,0.0091714,0.0096029,0.009374,0.0088673,0.0086991,0.0089889,0.0090598,0.0087,0.0088964,0.0084619,0.0087761,0.0082288,0.0082033,0.008087,0.0080059,0.0079024,0.0073473,0.0082016,0.0074892,0.0074007,0.0074022,0.0071986,0.0074689,0.0067,0.0075008,0.0068203,0.0070979,0.0071141,0.0063439,0.0064006,0.0053204,0.0058982,0.0062831,0.0056852,0.0060006,0.0059993,0.0059791,0.0054016,0.0058879,0.0056447,0.0058994,0.0051685,0.0057011,0.0052989,0.0057055,0.0056011,0.0049961,0.0052393,0.0052,0.0050163,0.0052494,0.004999,0.0050366,0.0046991
18,0.0179576,0.0182414,0.0181927,0.0177853,0.017836,0.0180928,0.0169442,0.0170354,0.0159016,0.0157383,0.0158092,0.0150985,0.0147147,0.0153015,0.0152924,0.0149275,0.0147074,0.0144816,0.0143095,0.0141,0.0145424,0.0138735,0.0136014,0.0131844,0.0136303,0.0131039,0.0122622,0.0127013,0.0129718,0.0123025,0.0122012,0.0123838,0.0117859,0.0112386,0.0112989,0.011269,0.0114,0.0108841,0.0111044,0.0107522,0.0101239,0.0103,0.0100124,0.0097895,0.010201,0.009601,0.0098909,0.0096029,0.0096679,0.0095665,0.0090991,0.0089078,0.0088977,0.0089,0.0082967,0.0085937,0.0089686,0.0086139,0.0084034,0.0078437,0.0077221,0.0078023,0.0073574,0.0078016,0.0078844,0.0073007,0.0073022,0.0075985,0.0071953,0.0071,0.0067007,0.0068507,0.006698,0.0064959,0.0066074,0.0064006,0.0067797,0.006598,0.0065162,0.0059588,0.0064006,0.0059284,0.0061007,0.0058017,0.0056649,0.0058372,0.0056994,0.0051178,0.005001,0.0054989,0.0051785,0.004901,0.0050569,0.0046211,0.0046,0.0050569,0.0046211,0.0045991,0.0047225,0.004899
19,0.0186974,0.0177549,0.0176929,0.0179069,0.0177955,0.0171931,0.0164172,0.0164274,0.0158016,0.0156673,0.0153532,0.0156984,0.016093,0.0143014,0.0148262,0.0155862,0.0138069,0.0149985,0.0141473,0.0139,0.0141168,0.0135695,0.0143014,0.0135087,0.0129412,0.0135041,0.0125662,0.0126013,0.01284,0.0125025,0.0120012,0.0119278,0.0119582,0.0116947,0.0114989,0.0110765,0.0104,0.0111882,0.0111044,0.0103164,0.0105698,0.0093,0.0102658,0.0098401,0.0107011,0.010101,0.0102051,0.0095029,0.0096476,0.0094145,0.0091991,0.0092321,0.0093537,0.009,0.0091963,0.0081174,0.0086849,0.0083504,0.0081032,0.0077728,0.0080971,0.0076023,0.0073777,0.0079016,0.0076716,0.0074007,0.0076023,0.0069986,0.0072459,0.0064,0.0071007,0.006871,0.0061981,0.007185,0.0070736,0.0063006,0.0066175,0.0068979,0.0062628,0.0060906,0.0061006,0.0061311,0.0056244,0.0059018,0.0063135,0.0060095,0.0052995,0.0052698,0.0057011,0.0054989,0.0049353,0.0053011,0.0053001,0.0048542,0.0047,0.0049454,0.0045705,0.0046991,0.0050062,0.0044991
20,0.0185049,0.0178765,0.0177929,0.0177752,0.0167517,0.0166933,0.0161943,0.0166199,0.0159016,0.0155761,0.015566,0.0155984,0.0153025,0.0157016,0.0144411,0.0154342,0.0136068,0.0143295,0.0148871,0.0141,0.0136405,0.0134681,0.0135013,0.0135188,0.0130324,0.0130039,0.0125459,0.0125013,0.0121914,0.0125025,0.0126013,0.0121507,0.0118264,0.0121203,0.0113989,0.010965,0.011,0.0114618,0.0106042,0.010884,0.010661,0.0099,0.0104583,0.009678,0.009601,0.010001,0.0095768,0.010003,0.009526,0.0090092,0.0087991,0.008695,0.0088673,0.0086,0.0090964,0.0089585,0.0088977,0.0087761,0.0082033,0.0084315,0.0078336,0.0079024,0.0078844,0.0077015,0.0075398,0.0076008,0.0078023,0.0070986,0.0070331,0.0073,0.0072007,0.0072662,0.0069979,0.006273,0.0064858,0.0069007,0.0065669,0.0064981,0.0063743,0.0061818,0.0063006,0.0062628,0.0060095,0.0061018,0.0054014,0.0055535,0.0057994,0.0054826,0.0058012,0.0053989,0.0051988,0.0058012,0.0050468,0.0047123,0.0049,0.0050873,0.0049859,0.005199,0.0048947,0.0045991
21,0.0175523,0.0172786,0.0177929,0.0174104,0.0163362,0.017493,0.0161538,0.0166402,0.0165017,0.0160828,0.0156268,0.0162984,0.0160017,0.0158016,0.0147654,0.0150086,0.013907,0.0143295,0.0147959,0.0138,0.0146235,0.0132553,0.0130013,0.0130425,0.012931,0.013404,0.0128501,0.0130013,0.0129819,0.0122024,0.0121012,0.0117656,0.0120798,0.011492,0.0108989,0.0109549,0.0113,0.0109347,0.0109044,0.0111373,0.010134,0.0101,0.010357,0.0097793,0.010401,0.009901,0.0096882,0.009903,0.0092726,0.0091612,0.0093991,0.0089686,0.0089889,0.0088,0.0086965,0.0085531,0.0081275,0.0086139,0.0086034,0.0082491,0.0080363,0.0081024,0.0079249,0.0079016,0.0071345,0.0077008,0.0077023,0.0075985,0.0075601,0.0071,0.0071007,0.0068102,0.0063981,0.0069114,0.0067999,0.0061006,0.0068709,0.0062981,0.0061818,0.0060602,0.0059006,0.0063642,0.0063034,0.0063019,0.006273,0.0058271,0.0057994,0.0055738,0.0055011,0.0055989,0.0047833,0.005101,0.0051278,0.0050569,0.0046,0.0049454,0.0047225,0.004899,0.0044995,0.0044991
22,0.0174002,0.0172482,0.017493,0.0171976,0.0166706,0.0164934,0.0165388,0.0166503,0.0167017,0.0161842,0.0159612,0.0166983,0.0157585,0.0151015,0.0149782,0.0150593,0.0149075,0.014583,0.013823,0.0136,0.0138533,0.0137722,0.0139014,0.0131945,0.0133263,0.0131039,0.0125662,0.0122012,0.0123941,0.0120024,0.0122012,0.0115832,0.011492,0.0119379,0.0115988,0.0114616,0.0104,0.0110666,0.0115046,0.0104279,0.0110461,0.0103,0.0099314,0.010509,0.009801,0.010001,0.0099923,0.010003,0.0094652,0.0090598,0.0092991,0.0089686,0.0096172,0.0086,0.0085966,0.0084214,0.008543,0.0084923,0.0082033,0.0088571,0.0079552,0.0079024,0.0080972,0.0078016,0.0075196,0.0072007,0.0074022,0.0068986,0.0073169,0.0069,0.0073007,0.0070737,0.0069979,0.0060703,0.0066074,0.0066007,0.0062324,0.0063981,0.0060602,0.0064858,0.0064006,0.0061108,0.0060602,0.0060018,0.0059284,0.0059487,0.0056994,0.0057562,0.0057011,0.005199,0.0053001,0.0053011,0.0051886,0.0048238,0.0046,0.0049049,0.0050265,0.004899,0.0049049,0.0044991
