ind,description,category
8690,"Drinking places, alcoholic beverages",Food service
8680,Restaurants and other food services,Food service
8970,Barber shops,Beauty
8980,Beauty salons,Beauty
8990,Nail salons and other personal care services,Beauty
8660,Traveler accommodation,Entertainment
6380,Couriers and messengers,Transportation
8590,"Other amusement, gambling, and recreation industries",Entertainment
6190,Taxi and limousine service,Transportation
8580,Bowling centers,Entertainment
6280,Scenic and sightseeing transportation,Entertainment
8564,"Independent artists, writers, and performers",Entertainment
2780,Metal forgings and stampings,Goods
6090,Water transportation,Transportation
5580,Miscellaneous retail stores,Retail
1370,Beverage manufacturing,Goods
3895,Furniture and related product manufacturing,Goods
9090,Other personal services,Professional services
7370,Specialized design services,Professional services
4980,Specialty food stores,Retail
8780,Car washes,Retail
7690,services to buildings and dwellings (except cleaning during construction and immediately after construction),Real estate
4890,Lawn and garden equipment and supplies stores,Retail
2670,Iron and steel mills and steel product manufacturing,Goods
5790,Not specified retail trade,Retail
8670,"Recreational vehicle parks and camps, and rooming and boarding houses, dormitories, and workers' camps",Entertainment
8562,Spectator sports,Entertainment
4490,Petroleum and petroleum products merchant wholesalers,Goods
4990,"Beer, wine, and liquor stores",Retail
7670,Travel arrangements and reservation services,Entertainment
3470,Household appliance manufacturing,Goods
8561,Performing arts companies,Entertainment
8380,"Community food and housing, and emergency services",Nonprofit
4780,Household appliance stores,Retail
7990,Offices of chiropractors,Medical
4971,Supermarkets and Other Grocery (except Convenience) Stores,Retail
8170,Home health care services,Medical
7570,Management of companies and enterprises,Professional services
7080,Automotive equipment rental and leasing,Professional services
6770,Libraries and archives,Professional services
4195,Household appliances and electrical and electronic goods merchant wholesalers,Goods
8470,Child day care services,Education
8370,Individual and family services,Professional services
5170,Clothing stores,Retail
7181,Other consumer goods rental,Retail
4972,Convenience Stores,Retail
5381,Department stores,Retail
5275,"Sporting goods, and hobby and toy stores",Retail
1870,"Pulp, paper, and paperboard mills",Goods
1990,Printing and related support activities,Goods
5080,"Health and personal care, except drug, stores",Professional services
1190,Retail bakeries,Retail
5295,Musical instrument and supplies stores,Retail
6180,Bus service and urban transit,Transportation
7580,Employment services,Professional services
2980,Miscellaneous fabricated metal products manufacturing,Goods
8080,Offices of other health practitioners,Professional services
5470,Florists,Retail
9170,"Civic, social, advocacy organizations, and grantmaking and giving services",Nonprofit
7470,"Advertising, public relations, and related services",Professional services
7071,"Lessors of real estate, and offices of real estate agents and brokers",Real estate
4795,Electronics stores,Retail
7280,"Accounting, tax preparation, bookkeeping, and payroll services",Professional services
9290,Private households,Professional services
180,Animal production and aquaculture,Goods
4080,Furniture and home furnishing merchant wholesalers,Goods
6290,services incidental to transportation,Transportation
5690,Other direct selling establishments,Professional services
7980,Offices of dentists,Professional services
170,Crop production,Goods
4770,Furniture and home furnishings stores,Retail
5370,Book stores and news dealers,Retail
7190,"Commercial, industrial, and other intangible assets rental and leasing",Real estate
290,Support activities for agriculture and forestry,Goods
7770,Landscaping services,Real estate
7890,"Other schools and instruction, and educational support services",Education
1180,Animal slaughtering and processing,Goods
7780,Other administrative and other support services,Professional services
4870,Building material and supplies dealers,Real estate
6672,Internet publishing and broadcasting and web search portals,Professional services
5391,"General merchandise stores, including warehouse clubs and supercenters",Retail
6570,Motion pictures and video industries,Entertainment
7480,Veterinary services,Medical
1090,Fruit and vegetable preserving and specialty food manufacturing,Goods
2370,Plastics product manufacturing,Goods
7860,Elementary and secondary schools,Education
6170,Truck transportation,Transportation
6390,Warehousing and storage,Transportation
8563,"Promoters of performing arts, sports, and similar events, agents and managers for artists, athletes, entertainers, and other public figures",Entertainment
6991,Insurance carriers,Professional services
8270,Nursing care facilities (skilled nursing facilities),Medical
4570,Farm supplies merchant wholesalers,Goods
4265,"Hardware, and plumbing and heating equipment, and supplies merchant wholesalers",Goods
4670,Automobile dealers,Retail
9160,Religious organizations,Retail
8090,Outpatient care centers,Medical
3960,Medical equipment and supplies manufacturing,Medical
9370,Executive offices and legislative bodies,Nonprofit
9590,National security and international affairs,Nonprofit
4070,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,Goods
3680,Ship and boat building,Goods
5090,Gasoline stations,Retail
8191,Hospitals,Medical
8770,Automotive repair and maintenance,Retail
7590,Business support services,Professional services
6470,Newspaper publishers,Professional services
6880,"Savings institutions, including credit unions",Professional services
4470,Grocery and related product merchant wholesalers,Goods
1890,Miscellaneous paper and pulp products,Goods
3080,"Construction, and mining and oil and gas field machinery manufacturing",Real estate
6670,Broadcasting (except internet),Professional services
7790,Waste management and remediation services,Professional services
6070,Air transportation,Transportation
9470,"Justice, public order, and safety activities",Nonprofit
770,Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction),Real estate
9480,Administration of human resource programs,Professional services
4090,Lumber and other construction materials merchant wholesalers,Goods
4270,"Machinery, equipment, and supplies merchant wholesalers",Goods
9070,Drycleaning and laundry services,Retail
3875,Miscellaneous wood products,Goods
7870,"Colleges, universities, and professional schools, including junior colleges",Professional services
570,"Electric power generation, transmission and distribution",Goods
6370,Postal Service,Transportation
7970,Offices of physicians,Medical
5070,Pharmacies and drug stores,Retail
470,Nonmetallic mineral mining and quarrying,Goods
2880,"Machine shops; turned product; screw, nut, and bolt manufacturing",Goods
4170,Professional and commercial equipment and supplies merchant wholesalers,Goods
3370,"Communications, audio, and video equipment manufacturing",Goods
4690,"Automotive parts, accessories, and tire stores",Retail
6890,Nondepository credit and related activities,Professional services
8290,"Residential care facilities, except skilled nursing facilities",Medical
3580,Aircraft and parts manufacturing,Goods
4380,"Drugs, sundries, and chemical and allied products merchant wholesalers",Goods
8570,"Museums, art galleries, historical sites, and similar institutions",Entertainment
6680,Wired telecommunications carriers,Professional services
5670,Vending machine operators,Goods
8390,Vocational rehabilitation services,Nonprofit
5490,Used merchandise stores,Retail
6870,Banking and related activities,Professional services
1770,Footwear manufacturing,Goods
190,Forestry except logging,Goods
8891,Personal and household goods repair and maintenance,Goods
3570,Motor vehicles and motor vehicle equipment manufacturing,Goods
3291,"Machinery manufacturing, n.e.c. or not specified",Goods
2270,"Paint, coating, and adhesive manufacturing",Goods
5593,Electronic shopping and mail-order houses,Retail
4370,Paper and paper products merchant wholesalers,Goods
7390,"Management, scientific, and technical consulting services",Professional services
8192,Psychiatric and substance abuse hospitals,Medical
7380,Computer systems design and related services,Professional services
6992,"Agencies, brokerages, and other insurance related activities",Professional services
9570,Administration of economic programs and space research,Nonprofit
3380,"Navigational, measuring, electromedical, and control instruments manufacturing",Goods
1070,"Animal food, grain and oilseed milling",Goods
7680,Investigation and security services,Professional services
580,Natural gas distribution,Goods
7290,"Architectural, engineering, and related services",Professional services
7490,"Other professional, scientific, and technical services",Professional services
6695,"Data processing, hosting, and related services",Professional services
8180,Other health care services,Medical
670,"Water, steam, air-conditioning, and irrigation systems",Goods
6480,"Periodical, book, and directory publishers",Professional services
7072,"Real estate property managers, offices of real estate appraisers, and other activities related to real estate",Real estate
3490,"Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",Goods
2190,Pharmaceutical and medicine manufacturing,Goods
1170,Dairy product manufacturing,Goods
4880,Hardware stores,Retail
9190,"Business, professional, political, and similar organizations",Nonprofit
5190,"Jewelry, luggage, and leather goods stores",Retail
7460,Scientific research and development services,Nonprofit
9080,"Funeral homes, and cemeteries and crematories",Professional services
9490,Administration of environmental quality and housing programs,Nonprofit
7880,"Business, technical, and trade schools and training",Education
4580,Miscellaneous nondurable goods merchant wholesalers,Goods
4590,Not specified wholesale trade,Goods
6970,"Securities, commodities, funds, trusts, and other financial investments",Professional services
9890,Active duty military,Nonprofit
3590,Aerospace products and parts manufacturing,Goods
2180,Agricultural chemical manufacturing,Goods
3070,Agricultural implement manufacturing,Goods
4560,Alcoholic beverages merchant wholesalers,Goods
2680,Aluminum production and processing,Goods
4390,"Apparel, piece goods, and notions merchant wholesalers",Goods
1270,"Bakeries and tortilla manufacturing, except retail bakeries",Goods
1570,Carpet and rug mills,Goods
2570,"Cement, concrete, lime, and gypsum product manufacturing",Goods
2480,Clay building material and refractories manufacturing,Goods
380,Coal mining,Goods
2890,"Coating, engraving, heat treating, and allied activities",Goods
8870,Commercial and industrial machinery and equipment repair and maintenance,Goods
3095,Commercial and service industry machinery manufacturing,Goods
3365,Computer and peripheral equipment manufacturing,Goods
1691,"Cut and sew, and apparel accessories and other apparel manufacturing",Goods
2790,Cutlery and hand tool manufacturing,Goods
590,"Electric and gas, and other combinations",Goods
8790,Electronic and precision equipment repair and maintenance,Goods
3390,"Electronic component and product manufacturing, n.e.c.",Goods
3180,"Engine, turbine, and power transmission equipment manufacturing",Goods
1480,"Fabric mills, except knitting mills",Goods
4480,Farm product raw material merchant wholesalers,Goods
1470,"Fiber, yarn, and thread mills",Goods
280,"Fishing, hunting and trapping",Goods
2770,Foundries,Goods
5680,Fuel dealers,Goods
5570,"Gift, novelty, and souvenir shops",Retail
2490,Glass and glass product manufacturing,Goods
2290,Industrial and miscellaneous chemicals,Goods
1670,"Knitting fabric mills, and apparel knitting mills",Goods
9180,Labor unions,Nonprofit
1790,"Leather and hide tanning and finishing, and other leather and allied product manufacturing",Goods
7270,Legal services,Professional services
270,Logging,Goods
390,Metal ore mining,Goods
4180,"Metals and minerals, except petroleum, merchant wholesalers",Goods
3170,Metalworking machinery manufacturing,Goods
4290,Miscellaneous durable goods merchant wholesalers,Goods
3980,"Miscellaneous manufacturing, n.e.c.",Goods
2590,Miscellaneous nonmetallic mineral product manufacturing,Goods
2090,Miscellaneous petroleum and coal products,Goods
2690,Nonferrous metal (except aluminum) production and processing,Goods
1290,Not specified food industries,Goods
3990,Not specified manufacturing industries,Goods
2990,Not specified metal industries,Goods
690,Not specified utilities,Goods
5480,Office supplies and stationery stores,Retail
8070,Offices of optometrists,Medical
370,Oil and gas extraction,Goods
2970,Ordnance,Goods
9390,Other general government and support,Nonprofit
6780,"Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals",Professional services
4680,Other motor vehicle dealers,Goods
3690,Other transportation equipment manufacturing,Goods
1880,Paperboard container manufacturing,Goods
2070,Petroleum refining,Goods
6270,Pipeline transportation,Goods
2470,"Pottery, ceramics, and plumbing fixture manufacturing",Goods
3790,Prefabricated wood buildings and mobile homes manufacturing,Goods
9380,Public finance activities,Nonprofit
6080,Rail transportation,Transportation
3670,Railroad rolling stock manufacturing,Goods
4280,Recyclable material merchant wholesalers,Goods
2170,"Resin, synthetic rubber, and fibers and filaments manufacturing",Goods
2390,"Rubber products, except tires, manufacturing",Goods
3770,Sawmills and wood preservation,Goods
1280,"Seafood and other miscellaneous foods, n.e.c.",Goods
680,Sewage treatment facilities,Goods
5280,"Sewing, needlework, and piece goods stores",Goods
5180,Shoe stores,Retail
2280,"Soap, cleaning compound, and cosmetics manufacturing",Goods
6490,Software publishers,Professional services
6590,Sound recording industries,Entertainment
3970,"Sporting and athletic goods, and doll, toy and game manufacturing",Goods
2870,"Structural metals, and boiler, tank, and shipping container manufacturing",Goods
1080,Sugar and confectionery products,Goods
490,Support activities for mining and not specified type of mining,Goods
6690,"Telecommunications, except wired telecommunications carriers",Professional services
1490,Textile and fabric finishing and fabric coating mills,Goods
1590,"Textile product mills, except carpet and rug",Goods
2380,Tire manufacturing,Goods
1390,Tobacco manufacturing,Goods
3780,"Veneer, plywood, and engineered wood products",Goods
4585,Wholesale electronic markets and agents and brokers,Goods
